order_id,customer_id,product_id,order_date,shipping_date,sales,quantity,discount,profit,unit_price
11166,385,626,2018-01-01,2018-01-13,72,3,0.8,-108,9
11502,280,367,2018-01-01,2018-01-12,5178,5,0,2537,1036
10845,487,1689,2018-01-02,2018-01-18,1074,4,0.2,-121,265
11653,203,1067,2018-01-02,2018-01-28,839,7,0,403,120
10681,720,1823,2018-01-03,2018-02-02,987,3,0.2,296,325
10902,293,393,2018-01-03,2018-01-11,3606,3,0,433,1202
10970,249,348,2018-01-03,2018-01-18,810,6,0,381,135
11388,728,1455,2018-01-03,2018-01-10,184,5,0.6,-124,26
11447,466,1692,2018-01-03,2018-01-20,899,3,0.2,180,296
10766,394,1607,2018-01-04,2018-01-15,3064,3,0.2,-115,1018
11674,399,198,2018-01-04,2018-01-25,8509,5,0,340,1702
11608,337,1702,2018-01-06,2018-01-26,195,2,0,94,98
10815,269,653,2018-01-07,2018-01-22,99,1,0.2,35,95
11652,541,715,2018-01-07,2018-01-26,2604,8,0.2,976,322
10836,131,54,2018-01-09,2018-02-01,7622,2,0,2210,3811
11098,616,798,2018-01-09,2018-01-11,173,5,0.7,-121,22
11663,8,361,2018-01-09,2018-01-27,1123,7,0,303,160
11669,614,608,2018-01-09,2018-01-10,545,6,0,267,91
11706,587,929,2018-01-09,2018-01-25,3401,8,0,1156,425
10748,25,1697,2018-01-10,2018-01-25,177,2,0.4,-38,81
10915,228,1041,2018-01-10,2018-01-23,2108,2,0,611,1054
10985,192,455,2018-01-10,2018-01-15,368,9,0,99,41
11035,534,542,2018-01-10,2018-01-22,7269,3,0,800,2423
11188,124,1210,2018-01-10,2018-02-05,1805,2,0.2,-113,899
11616,157,885,2018-01-10,2018-01-12,1479,4,0,636,370
11799,399,246,2018-01-10,2018-01-11,888,2,0,444,444
10704,170,408,2018-01-11,2018-01-31,13830,3,0.3,-1778,4604
10821,197,945,2018-01-11,2018-01-28,494,5,0,232,99
11332,459,150,2018-01-11,2018-02-02,270,2,0,127,135
11692,94,575,2018-01-11,2018-01-12,4440,2,0,977,2220
11709,456,858,2018-01-11,2018-02-01,153,2,0,72,76
11029,637,77,2018-01-12,2018-02-07,357,5,0.6,-268,60
11457,267,677,2018-01-12,2018-02-09,325,3,0.2,110,104
11493,328,1341,2018-01-12,2018-02-02,3164,4,0,823,791
10720,612,686,2018-01-13,2018-02-02,1181,2,0.2,251,587
11340,714,1295,2018-01-13,2018-01-14,1613,8,0.8,-4193,187
10732,481,1519,2018-01-14,2018-01-29,2101,2,0.2,236,1047
11589,616,275,2018-01-14,2018-02-11,1755,5,0,842,351
10811,609,199,2018-01-15,2018-02-11,770,4,0.2,240,189
11014,136,1382,2018-01-15,2018-02-08,569,2,0.2,149,281
11749,14,248,2018-01-15,2018-01-24,888,2,0.2,266,440
10858,692,1811,2018-01-16,2018-01-28,13019,6,0.7,-17358,2157
11495,715,375,2018-01-16,2018-01-21,451,2,0.2,147,222
11547,48,228,2018-01-16,2018-01-30,295,2,0,148,148
11760,260,437,2018-01-16,2018-01-18,137,2,0,63,68
10724,121,65,2018-01-17,2018-02-13,3943,5,0.3,-282,783
11515,134,663,2018-01-17,2018-01-25,11173,5,0.2,1397,2231
10978,510,1380,2018-01-18,2018-01-31,282,4,0.2,102,67
11276,591,1458,2018-01-18,2018-01-23,12283,4,0.2,1535,3067
10684,627,1027,2018-01-19,2018-02-15,1251,5,0.2,109,247
11303,230,148,2018-01-19,2018-02-05,998,5,0.2,75,196
11470,27,1026,2018-01-19,2018-02-07,144,2,0,37,72
11567,159,343,2018-01-19,2018-02-15,7577,3,0.4,-2273,2518
11688,50,172,2018-01-19,2018-01-28,918,4,0.2,69,226
10857,58,178,2018-01-20,2018-02-04,1227,3,0,159,409
10869,478,519,2018-01-20,2018-02-05,18489,7,0.2,2311,2638
11165,297,810,2018-01-20,2018-01-24,11149,7,0.3,-3026,1587
11481,109,434,2018-01-20,2018-02-09,296,2,0.2,22,144
11635,145,946,2018-01-20,2018-01-28,664,6,0,319,111
10994,162,316,2018-01-21,2018-02-05,282,5,0.2,99,53
11114,623,1357,2018-01-21,2018-02-05,1388,3,0,333,462
10872,150,1636,2018-01-22,2018-02-06,168349,7,0,43771,24050
11115,365,780,2018-01-22,2018-01-26,288,2,0.4,-183,137
11456,644,223,2018-01-22,2018-01-27,1178,8,0,518,147
11624,31,1602,2018-01-22,2018-02-20,156,2,0.2,49,74
11658,469,1584,2018-01-22,2018-02-17,7681,3,0.2,2496,2557
11694,433,361,2018-01-22,2018-02-08,321,2,0,87,160
10807,174,225,2018-01-23,2018-02-22,6426,7,0.3,-1285,912
10680,458,1128,2018-01-26,2018-02-03,328,6,0.2,111,51
11393,288,525,2018-01-26,2018-02-23,13985,7,0.2,1224,1994
11806,76,1135,2018-01-26,2018-02-23,2634,5,0,975,527
11424,702,1777,2018-01-27,2018-02-22,116,1,0.7,-78,103
11514,10,1443,2018-01-27,2018-02-21,692,2,0,263,346
10688,222,407,2018-01-28,2018-02-24,1049,1,0.3,-375,1043
11386,211,154,2018-01-28,2018-02-10,1267,7,0,583,181
11110,175,1531,2018-01-29,2018-02-27,1332,4,0,240,333
11544,372,396,2018-01-29,2018-02-28,6742,5,0.1,150,1346
11627,657,215,2018-01-29,2018-02-25,164,5,0.8,-246,18
10844,492,46,2018-01-30,2018-02-05,1961,2,0,78,980
11195,458,188,2018-01-30,2018-02-08,297,3,0.2,108,95
11324,249,60,2018-01-30,2018-02-26,124,4,0,62,31
10896,6,450,2018-01-31,2018-02-21,247,6,0.2,19,37
11159,114,1393,2018-01-31,2018-02-15,9157,3,0,2747,3052
11461,125,418,2018-01-31,2018-02-03,5132,5,0,2463,1026
11649,363,843,2018-01-31,2018-02-06,106,3,0.7,-85,22
11506,318,1016,2018-02-01,2018-02-21,306,5,0.2,38,57
11594,130,71,2018-02-01,2018-02-17,7214,3,0,649,2405
10838,432,378,2018-02-02,2018-02-03,484,3,0.2,36,158
11113,600,993,2018-02-02,2018-02-05,19552,7,0,2933,2793
11111,605,360,2018-02-03,2018-02-06,1054,7,0,422,151
10756,303,351,2018-02-04,2018-02-21,576,5,0.7,-442,102
11313,457,1680,2018-02-04,2018-02-07,1532,12,0,123,128
11212,213,535,2018-02-05,2018-02-16,113,3,0.6,-73,26
11214,498,109,2018-02-05,2018-02-10,562,1,0.2,70,558
11263,407,848,2018-02-05,2018-03-07,2266,2,0,0,1133
11472,669,1072,2018-02-05,2018-02-13,4528,4,0.2,453,1128
10886,531,43,2018-02-06,2018-03-08,7739,7,0,2167,1106
11169,239,808,2018-02-06,2018-02-28,216,2,0,56,108
11654,373,1217,2018-02-06,2018-03-07,740,1,0.2,139,736
10825,521,38,2018-02-07,2018-03-09,16898,5,0.3,-966,3374
11002,597,508,2018-02-07,2018-02-27,120,2,0,59,60
11222,746,1142,2018-02-07,2018-02-08,2084,1,0.2,208,2080
11469,124,1154,2018-02-07,2018-02-23,3619,5,0.2,-814,720
10899,771,549,2018-02-08,2018-02-26,959,8,0,470,120
11106,572,862,2018-02-08,2018-02-23,2797,1,0.2,245,2793
11548,497,1478,2018-02-08,2018-02-19,270,2,0,124,135
10717,180,171,2018-02-09,2018-02-17,303,5,0,130,61
10975,367,1565,2018-02-09,2018-03-04,269,3,0,105,90
11093,600,930,2018-02-09,2018-03-06,1970,6,0,768,328
11162,210,899,2018-02-09,2018-03-01,13321,4,0.2,-1166,3327
11296,17,1503,2018-02-09,2018-02-21,337,3,0,98,112
10852,515,904,2018-02-10,2018-02-18,1893,4,0.2,-237,470
10922,36,1367,2018-02-10,2018-02-26,523,2,0.2,118,258
11063,397,892,2018-02-10,2018-02-17,20631,7,0,6189,2947
11147,505,697,2018-02-10,2018-03-09,218,3,0.2,79,69
11292,650,3,2018-02-10,2018-02-21,216,2,0.2,73,104
11783,373,683,2018-02-10,2018-02-11,946,5,0,246,189
10731,235,875,2018-02-11,2018-02-13,316,4,0.2,107,75
10734,171,918,2018-02-11,2018-03-05,153,2,0,72,76
10981,710,681,2018-02-11,2018-03-06,599,5,0,288,120
11397,50,816,2018-02-11,2018-02-25,6082,3,0.2,532,2024
11056,69,894,2018-02-12,2018-02-22,4695,2,0.1,574,2345
11070,793,1395,2018-02-12,2018-02-20,407,7,0,183,58
11085,167,1498,2018-02-12,2018-03-02,236,6,0.2,86,36
10937,78,1236,2018-02-13,2018-03-12,2503,5,0,701,501
11729,717,584,2018-02-14,2018-02-21,11648,9,0,1980,1294
11204,287,562,2018-02-15,2018-03-09,12091,3,0,2055,4030
11297,249,1377,2018-02-15,2018-03-10,55,1,0.2,21,52
11522,590,1687,2018-02-15,2018-02-19,115,3,0,35,38
11707,557,1554,2018-02-15,2018-02-25,215,3,0,62,72
11767,58,68,2018-02-15,2018-03-04,7019,10,0,3299,702
11060,537,247,2018-02-16,2018-03-12,20142,6,0,5841,3357
11580,276,1204,2018-02-18,2018-03-20,6179,3,0.15,73,2057
11135,13,259,2018-02-19,2018-03-15,20179,7,0.4,-5381,2875
10762,630,982,2018-02-20,2018-02-25,599,5,0,288,120
11600,542,1015,2018-02-20,2018-03-01,426,2,0,191,213
11764,705,40,2018-02-20,2018-03-05,20600,12,0.2,2317,1713
10702,783,815,2018-02-21,2018-03-18,494,2,0,138,247
10906,251,509,2018-02-21,2018-03-16,11640,8,0.2,4219,1451
11138,366,1654,2018-02-21,2018-03-09,332,3,0,163,111
11225,350,1464,2018-02-21,2018-03-05,4751,1,0.2,594,4747
11527,10,849,2018-02-21,2018-03-11,14830,5,0.5,-8305,2957
11429,115,507,2018-02-22,2018-02-25,1953,2,0.2,171,973
11508,18,467,2018-02-22,2018-03-18,24651,2,0.2,-5547,12322
11695,443,1510,2018-02-22,2018-02-25,5308,7,0,2601,758
11489,573,269,2018-02-23,2018-02-27,3196,2,0.1,604,1596
11712,209,916,2018-02-23,2018-03-06,286,3,0,83,95
11074,328,561,2018-02-24,2018-03-23,3696,10,0,1331,370
11601,676,1623,2018-02-24,2018-03-05,3032,2,0,758,1516
10997,17,492,2018-02-25,2018-02-27,83,1,0.7,-67,70
11143,773,1023,2018-02-25,2018-03-08,398,2,0.2,30,195
11183,781,1396,2018-02-25,2018-03-20,286,3,0.2,104,92
10683,506,1671,2018-02-26,2018-03-07,463,3,0,194,154
10808,33,1756,2018-02-26,2018-03-20,4067,5,0.2,1474,810
11034,317,661,2018-02-26,2018-03-17,517,3,0,150,172
11412,660,701,2018-02-26,2018-03-10,775,6,0,15,129
11805,425,264,2018-02-26,2018-03-28,189,3,0,91,63
11275,251,1799,2018-02-27,2018-03-27,8880,2,0.4,1036,4432
11326,791,103,2018-02-27,2018-03-09,1213,2,0.2,440,603
11197,486,154,2018-02-28,2018-03-04,576,4,0,271,144
11277,800,1664,2018-02-28,2018-03-22,107,2,0,52,53
11241,548,543,2018-03-01,2018-03-06,1941,5,0,932,388
11335,552,1707,2018-03-01,2018-03-21,7466,4,0,1792,1866
11623,647,1380,2018-03-01,2018-03-11,352,4,0,173,88
11723,249,371,2018-03-01,2018-03-11,887,5,0.2,78,174
11734,124,335,2018-03-01,2018-03-04,1146,2,0,516,573
11474,758,46,2018-03-02,2018-03-03,4706,6,0.2,-941,781
